,0,1,2,3,4,5
0,0.0,0,32,0.0,-100,18
1,0.0,0,7,0.0,-100,8
2,0.0,0,156,0.0,-100,25
3,0.0,0,15,0.0,-100,16
4,0.0,0,2,0.0,-1,3
5,0.0,0,180,0.0,-1,27
6,0.0,0,2,0.0,-1,3
7,0.0,0,2,0.0,-1,3
8,0.0,0,63,0.0,-1,16
9,0.0,0,24,0.0,-100,14
10,0.0,0,68,0.0,-100,21
11,0.0,0,39,0.0,-100,16
12,0.0,0,1,0.0,-1,2
13,0.0,0,1,0.0,-1,2
14,0.0,0,2,0.0,-1,3
15,0.047619047619047616,1,120,0.36926937306885504,-1,22
16,0.0,0,120,0.0,-1,22
17,0.0,0,180,0.0,-3,28
18,0.0,0,234,0.0,-100,31
19,0.0,0,168,0.0,-1,26
20,0.0,0,216,0.0,-100,30
21,0.0,0,12,0.0,-100,13
22,0.0,0,234,0.0,-1,31
23,0.0,0,1,0.0,-1,2
24,0.0,0,96,0.0,-100,20
25,0.0,0,180,0.0,-1,28
26,0.0,0,225,0.0,-1,30
27,0.0,0,135,0.0,-100,24
28,0.0,0,7,0.0,-1,8
29,0.0,0,165,0.0,-1,26
30,0.0,0,0,0.0,-100,11
31,0.0,0,144,0.0,-100,24
32,0.0,0,8,0.0,-100,9
33,0.06451612903225806,2,272,0.7631033646040855,-1,33
34,0.0,0,323,0.0,-1,36
35,0.07692307692307693,2,187,0.7002970321173494,-1,28
36,0.0,0,60,0.0,-100,23
37,0.0,0,15,0.0,-100,16
38,0.0,0,2,0.0,-1,3
39,0.0,0,26,0.0,-100,15
40,0.0,0,88,0.0,-100,19
41,0.0,0,168,0.0,-1,26
42,0.0,0,1,0.0,-1,2
43,0.0,0,63,0.0,-1,16
44,0.0,0,2,0.0,-1,3
45,0.0,0,5,0.0,-100,6
46,0.0,0,2,0.0,-1,3
47,0.0,0,1,0.0,-1,2
48,0.0,0,1,0.0,-100,2
49,0.0,0,176,0.0,-100,27
50,0.0,0,1,0.0,-1,2
51,0.0,0,156,0.0,-100,25
52,0.0,0,192,0.0,-1,28
53,0.0,0,208,0.0,-100,29
54,0.0,0,13,0.0,-100,14
55,0.0,0,288,0.0,-1,34
56,0.0,0,4,0.0,-1,5
57,0.0,0,1,0.0,-100,2
58,0.047619047619047616,1,96,0.5138983423697507,-1,22
59,0.0,0,1,0.0,-1,2
60,0.0,0,0,0.0,-100,16
61,0.0,0,0,0.0,-100,13
62,0.0,0,2,0.0,-1,3
63,0.0,0,10,0.0,-100,11
64,0.0,0,13,0.0,-100,14
65,0.0,0,18,0.0,-100,9
66,0.0,0,22,0.0,-100,13
67,0.0,0,2,0.0,-1,3
68,0.0,0,1,0.0,-100,2
69,0.0,0,90,0.0,-3,19
70,0.0,0,225,0.0,-1,30
71,0.0,0,4,0.0,-1,4
72,0.0,0,2,0.0,-1,3
73,0.0,0,40,0.0,-100,22
74,0.0,0,1,0.0,-1,2
75,0.0,0,16,0.0,-100,17
76,0.0,0,171,0.0,-1,28
77,0.0,0,1,0.0,-1,2
78,0.0,0,304,0.0,-1,35
79,0.03333333333333333,1,238,0.35295612386476116,-1,31
80,0.0,0,2,0.0,-100,3
81,0.03125,1,272,0.3898712452512801,-1,33
82,0.0,0,6,0.0,-100,5
83,0.0,0,221,0.0,-1,30
84,0.0,0,117,0.0,-100,22
85,0.0,0,120,0.0,-100,22
86,0.0,0,4,0.0,-1,4
87,0.041666666666666664,1,156,0.36926937306885504,-1,25
88,0.0,0,2,0.0,-1,3
89,0.0,0,14,0.0,-100,9
90,0.0,0,1,0.0,-1,2
91,0.0,0,17,0.0,-100,18
92,0.0,0,130,0.0,-1,23
93,0.0,0,1,0.0,-1,2
94,0.0,0,104,0.0,-100,21
95,0.0,0,195,0.0,-3,28
96,0.0,0,6,0.0,-100,5
97,0.0,0,171,0.0,-1,28
98,0.05263157894736842,1,100,0.36067376022224085,-1,20
99,0.0,0,10,0.0,-1,11
100,0.03571428571428571,1,210,0.36926937306885504,-1,29
101,0.0,0,210,0.0,-1,29
102,0.0,0,1,0.0,-1,2
103,0.0,0,135,0.0,-100,24
104,0.0,0,91,0.0,-1,20
105,0.0,0,270,0.0,-1,33
106,0.0,0,1,0.0,-1,2
107,0.0,0,224,0.0,-100,30
108,0.0,0,5,0.0,-1,6
109,0.0,0,1,0.0,-1,2
110,0.0,0,13,0.0,-100,14
111,0.0,0,34,0.0,-100,19
112,0.0,0,1,0.0,-1,2
113,0.0,0,2,0.0,-1,3
114,0.0,0,3,0.0,-100,4
115,0.0,0,126,0.0,-100,25
116,0.0,0,1,0.0,-100,2
117,0.0,0,2,0.0,-1,3
118,0.0,0,2,0.0,-100,3
119,0.0,0,1,0.0,-1,2
120,0.0,0,84,0.0,-3,19
121,0.0,0,0,0.0,-100,1
122,0.0,0,2,0.0,-1,3
123,0.0,0,204,0.0,-1,29
124,0.045454545454545456,1,132,0.43429448190325176,-1,23
125,0.0,0,1,0.0,-1,2
126,0.0,0,1,0.0,-1,2
127,0.0,0,15,0.0,-1,8
128,0.0,0,126,0.0,-100,23
129,0.047619047619047616,1,117,0.3789231816899512,-1,22
130,0.05263157894736842,1,99,0.48089834696298783,-1,20
131,0.0,0,2,0.0,-100,3
132,0.037037037037037035,1,195,0.43429448190325176,-2,28
133,0.0,0,81,0.0,-1,18
134,0.02857142857142857,1,320,0.36926937306885504,-1,36
135,0.0,0,4,0.0,-1,4
136,0.0,0,189,0.0,-1,30
137,0.0,0,27,0.0,-100,12
138,0.0,0,0,0.0,-100,11
139,0.0,0,51,0.0,-100,20
140,0.0,0,176,0.0,-1,27
141,0.0,0,2,0.0,-1,3
142,0.0,0,135,0.0,-1,24
143,0.0,0,0,0.0,-100,1
144,0.02857142857142857,1,320,0.35295612386476116,-1,36
145,0.03125,1,266,0.3459762562611936,-1,33
146,0.0,0,23,0.0,-100,24
147,0.0,0,1,0.0,-100,2
148,0.0,0,176,0.0,-1,27
149,0.0,0,210,0.0,-1,29
150,0.0,0,2,0.0,-1,3
151,0.3333333333333333,1,4,0.9102392266268373,-1,4
152,0.0,0,6,0.0,-100,5
153,0.0,0,238,0.0,-1,31
154,0.0,0,204,0.0,-1,29
155,0.0,0,6,0.0,-1,5
156,0.0,0,0,0.0,-100,1
157,0.0,0,322,0.0,-1,37
158,0.0,0,4,0.0,-100,5
159,0.0,0,176,0.0,-1,27
160,0.0,0,4,0.0,-1,5
161,0.0,0,0,0.0,-100,0
162,0.029411764705882353,1,304,0.36926937306885504,-1,35
163,0.0,0,2,0.0,-1,3
164,0.0,0,0,0.0,-100,1
165,0.0,0,4,0.0,-100,4
166,0.0,0,26,0.0,-100,15
167,0.0,0,225,0.0,-100,30
168,0.0,0,32,0.0,-100,18
169,0.0,0,154,0.0,-1,25
170,0.0,0,13,0.0,-100,14
171,0.0,0,1,0.0,-1,2
172,0.0,0,16,0.0,-100,17
173,0.0,0,16,0.0,-100,17
174,0.0,0,1,0.0,-1,2
175,0.0,0,2,0.0,-100,3
176,0.0,0,1,0.0,-1,2
177,0.030303030303030304,1,288,0.35295612386476116,-1,34
178,0.0,0,55,0.0,-1,16
179,0.0,0,1,0.0,-100,2
180,0.0,0,234,0.0,-1,31
181,0.0,0,0,0.0,-100,8
182,0.0,0,96,0.0,-100,20
183,0.0,0,54,0.0,-100,21
184,0.05263157894736842,1,96,0.36067376022224085,-1,20
185,0.0,0,1,0.0,-100,2
186,0.0,0,0,0.0,-100,1
187,0.0,0,144,0.0,-1,25
188,0.0,0,288,0.0,-1,34
189,0.0,0,56,0.0,-100,15
190,0.041666666666666664,1,144,0.40242960438184466,-1,25
191,0.0,0,195,0.0,-1,28
192,0.05714285714285714,2,336,0.7093572808119795,-1,37
193,0.0,0,57,0.0,-100,22
194,0.0,0,190,0.0,-1,29
195,0.0,0,132,0.0,-100,23
196,0.0,0,1,0.0,-1,2
197,0.0,0,1,0.0,-100,2
198,0.0,0,2,0.0,-1,3
199,0.0,0,2,0.0,-1,3
200,0.0,0,8,0.0,-100,6
201,0.0,0,10,0.0,-100,11
202,0.0,0,72,0.0,-100,18
203,0.0,0,15,0.0,-100,16
204,0.0,0,1,0.0,-1,2
205,0.0,0,304,0.0,-1,35
206,0.0,0,80,0.0,-1,18
207,0.0,0,2,0.0,-1,3
208,0.0,0,3,0.0,-1,4
209,0.0,0,84,0.0,-1,19
210,0.0,0,210,0.0,-1,29
211,0.0,0,19,0.0,-100,20
212,0.0,0,1,0.0,-1,2
213,0.0,0,169,0.0,-1,26
214,0.0,0,13,0.0,-100,14
215,0.0,0,90,0.0,-100,19
216,0.043478260869565216,1,144,0.36926937306885504,-1,24
217,0.0,0,117,0.0,-1,22
218,0.0,0,3,0.0,-1,4
219,0.0,0,90,0.0,-100,21
220,0.0,0,18,0.0,-100,19
221,0.0,0,1,0.0,-1,2
222,0.058823529411764705,1,56,0.3898712452512801,-1,18
223,0.0,0,1,0.0,-1,2
224,0.06451612903225806,2,266,0.7059122477295223,-1,33
225,0.0,0,2,0.0,-1,3
226,0.0,0,19,0.0,-100,20
227,0.0,0,11,0.0,-100,12
228,0.0,0,4,0.0,-1,4
229,0.0,0,98,0.0,-1,21
230,0.0,0,0,0.0,-100,16
231,0.0,0,0,0.0,-100,12
232,0.0,0,36,0.0,-100,20
233,0.0,0,19,0.0,-100,20
234,0.0,0,1,0.0,-1,2
235,0.0,0,20,0.0,-100,21
236,0.0,0,1,0.0,-1,2
237,0.0,0,323,0.0,-100,36
238,0.05,1,110,0.4170323914242463,-1,21
239,0.0,0,2,0.0,-1,3
240,0.0,0,0,0.0,-100,12
241,0.0,0,180,0.0,-100,29
242,0.0,0,1,0.0,-1,2
243,0.0,0,0,0.0,-100,10
244,0.0,0,0,0.0,-100,3
245,0.0,0,20,0.0,-100,21
246,0.0,0,2,0.0,-1,3
247,0.04,1,168,0.40242960438184466,-1,26
248,0.0,0,1,0.0,-100,2
249,0.0,0,2,0.0,-100,3
250,0.0,0,1,0.0,-1,2
251,0.037037037037037035,1,187,0.3284587387530511,-1,28
252,0.0,0,26,0.0,-100,15
253,0.0,0,1,0.0,-1,2
254,0.0,0,48,0.0,-100,19
255,0.0,0,8,0.0,-100,9
256,0.0,0,24,0.0,-100,14
257,0.0,0,1,0.0,-1,2
